id,category,slug,name,price,weight,description
4c732d96-95db-46de-b599-5da62a86cb4d,Crafting,outils-de-menuisier,Outils de menuisier,8,3,"Ces outils comprennent une scie, un marteau, des clous, une équerre, une règle, une herminette, des ciseaux à bois et un niveau."
d03e78fe-6d73-4589-924f-5b78e5f4f380,Crafting,outils-de-navigateur,Outils de navigateur,25,1,"Ces outils comprennent un sextant, une boussole, un pied à coulisse, une règle, trois parchemins, une plume à écrire et de l’encre."
56f90527-5958-423b-b1e2-6cb0ca7c3d5e,Crafting,outils-de-potier,Outils de potier,10,1.5,"Ces outils contiennent des aiguilles de potier, des nervures en bois, un pied à coulisse, des grattoirs et un couteau."
0a000b81-0d7a-407a-afeb-364c9bff3174,Crafting,outils-de-sculpteur-sur-bois,Outils de sculpteur sur bois,1,2.5,"Ces outils comprennent un couteau, une petite scie et un ciseau à dégarnir."
4b007e30-2494-436c-838e-afff0a276660,Crafting,outils-de-souffleur-de-verre,Outils de souffleur de verre,30,2.5,"Ces outils comprennent un chalumeau, un marbre, des blocs et des pincettes."
ebec3e2d-8e68-45f9-a45a-269e9796a659,Crafting,outils-de-tisserand,Outils de tisserand,1,2.5,"Ces outils comprennent du fil et des aiguilles à coudre, ainsi que des retailles de tissu. Le personnage sait manœuvrer un métier à tissu, mais cet outil est bien trop massif pour être trimballé."
278a46c6-e207-460d-a988-21730d16e653,Crafting,outils-de-voleur,Outils de voleur,25,0.5,"Ces outils comprennent une petite lime, un jeu de crochetage, un petit miroir monté sur une tige métallique, une paire de ciseaux à lame étroite et des pinces."
48467058-8584-41e4-afc5-8abb67629fd4,Crafting,trousse-de-deguisement,Trousse de déguisement,25,1.5,"Cette trousse contient du maquillage, de la teinture pour cheveux, de petits accessoires et quelques morceaux de vêtements."
5dcaa536-e15b-4389-8359-04e688f45462,Crafting,trousse-de-falsification,Trousse de falsification,15,2.5,"Cette trousse contient plusieurs plumes à écrire de différent calibre, différentes qualités et couleurs d’encre, une variété de papiers et parchemins, de la cire à cacheter, des sceaux, des feuilles d’argent et d’or très fines, et de petits outils pour sculpter la cire à cacheter afin d’imiter un sceau."
916244fd-d05a-40e8-9813-ec93b25271d2,Crafting,trousse-de-premiers-soins,Trousse de premiers soins,5,1.5,"Cette trousse contient des bandages, des baumes, des attelles, des pincettes et un couteau de précision. Elle contient 10 charges. Lorsque toutes les charges sont utilisées, la trousse doit être remplacée au complet par mesures d’hygiène."
e1cd27ae-7048-44d1-8060-97c7969ac9a5,Crafting,trousse-d-empoisonneur,Trousse d’empoisonneur,50,1,"Cette trousse contient des fioles en verre, un mortier et un pilon, une tige en verre et des réactifs communs."
6f84c17a-e578-4861-8588-f08627f9f3be,Crafting,trousse-d-herboristerie,Trousse d’herboristerie,5,1.5,"Cette trousse contient des sachets pour entreposer des herbes, un mortier et un pilon, des bocaux de verre, ainsi que de gants et des sécateurs permettant de collecter des herbes."
6d23fcba-4c0d-499d-9442-12d1a42f61a6,Crafting,ustensiles-de-cuisinier,Ustensiles de cuisinier,1,4,"Ces outils comprennent un chaudron, des couteaux, des fourchettes et des cuillères de différentes tailles et quantités, ainsi qu’une variété d’articles de cuisine communs telle une râpe, une louche et un fouet."
ecf2f834-0f0c-40f7-9441-559675353b0b,PlayingSet,alquerque,Alquerque,1,0.2,Un jeu de société se jouant sur une grille. Chaque joueur possède 12 galets colorés.
f1ff88bb-1104-45b7-9cd6-0eefd5e359ab,PlayingSet,des,Dés,0.1,0,"Trois petits dés à six faces en métal, en bois ou en pierre gravée."
7c086e13-4ff8-46b8-832e-02eab67cef98,PlayingSet,dominos,Dominos,10,0.1,Un ensemble de 32 tuiles numérotées fabriquées à partir d’ossements. Son prix élevé est justifié par le fait qu’il est importé d’un lointain pays de l’Est.
dc63c289-89af-49af-a3e2-ca172dc92b4b,PlayingSet,echecs,Échecs,2,0.5,Un plateau grillé (échiquier) et deux ensembles de 16 pièces colorées aux couleurs de l’échiquier.
f08ad347-77e5-42c8-9d91-2d6ed7f327b0,PlayingSet,jeu-du-moulin,Jeu du moulin,0.2,0.1,Un plateau (tablier) formé de trois carrés imbriqués et deux ensembles de 9 galets colorés.
cdfaf7d7-5fa5-4587-91fd-5c6bc067fa35,PlayingSet,marelle,Marelle,0.02,0,Une craie et un palet coloré pour jouer sur un sol en pierre.
16f49132-b14b-45ca-bbed-7deb4fb10eb9,PlayingSet,pailles,Pailles,0.05,0,Un ensemble de pailles de millefeuille séché.
25d8a3ce-1926-4d84-baac-c1c128f915db,PlayingSet,tabula,Tabula,1,0.2,Un jeu de société se jouant sur un plateau. Il comprend deux ensembles de 15 galets colorés et 3 dés.
90b93d5e-e3b1-41c1-8da9-aab8650009f1,PlayingSet,tarot,Tarot,1,0,"Ce jeu compte 58 cartes. Il est divisé en 4 enseignes comptant chacune 14 cartes (1 à 10, Valet, Cavalier, Dame et Roi). Il compte également deux cartes uniques : Le Fou et Le Monde."
e6c94fd3-976c-4f92-88ea-9c0b38efc349,PlayingSet,trois-galets-a-la-fois,Trois galets à la fois,0.1,0,"Un plateau composé d’une grille de 3 par 3 carrés, et deux ensembles de 3 galets colorés."
601b15bd-5a56-43de-9ba2-69ede87f7a8f,MusicalInstrument,cornemuse,Cornemuse,30,3,"Instrument à vent constitué d’une poche, d’un hautbois à anche double, et d’un ou plusieurs bourdons."
8ac2e215-1118-46cc-8176-1a125ac7462b,MusicalInstrument,chalemie,Chalemie,2,0.5,"Instrument à vent à anche double, dans la famille du hautbois, à perce conique."
46343d3f-11e1-42e2-83a3-7f0f5ee4a488,MusicalInstrument,corne,Corne,3,1,"Instrument à vent constitué d’une corne d’animal percée et vidée, ou d’un tube en cuivre enroulé sur lui-même."
052f8394-8cd8-4c03-bfe5-2631c9e8ddd1,MusicalInstrument,dulcimer,Dulcimer,25,5,Instrument à cordes frappées par une paire de baguettes constitué d’une table en bois de forme trapézoïdale.
b0977d57-eee8-4358-9876-bda6e320c065,MusicalInstrument,flute,Flûte,2,0.5,Instrument à vent de forme tubulaire muni d’un biseau et de petits trous bouchés avec les doigts.
92922416-ad3f-4940-8a9a-b84f110b4a43,MusicalInstrument,flute-de-pan,Flûte de Pan,12,1,"Instrument à vent composé de plusieurs petits tubes, très facile à fabriquer."
67f02df3-21a7-4fca-aa7c-c10ebbfae372,MusicalInstrument,luth,Luth,35,1,Instrument à cordes pincées fait presque entièrement de bois muni de plusieurs paires de cordes.
31138093-946d-44ab-8791-4f243f71db59,MusicalInstrument,lyre,Lyre,30,1,Instrument à cordées pincées similaire à une harpe de petite taille.
0294a245-a24e-4f20-8421-22804b78019d,MusicalInstrument,tambour,Tambour,6,1.5,Percussion constituée d’un fût sur lequel est tendue une peau frappée par les doigts ou des baguettes.
c9d8de71-5e11-45d8-9142-793989ac8270,MusicalInstrument,viole,Viole,30,0.5,Instrument à cordes frottées et à frette joué à l’aide d’un archet doté de six cordes en boyau.
