id,slug,value,name,attribute,summary,description,notes
0778339e-53e2-4616-947c-602c8f366969,medecine,Medicine,Médecine,intellect,"Médecine mesure la connaissance et l’habileté du personnage à soigner les blessures, diagnostiquer des afflictions et appliquer des traitements adaptés.","La compétence **Médecine** permet au personnage de :\n\n- appliquer les premiers soins\n- diagnostiquer une maladie, un poison ou une blessure\n- déterminer ou préparer le traitement approprié\n- stabiliser un allié mourant",
9700e723-6564-449d-9426-b25e9d02cb5d,melee,Melee,Mêlée,vigueur,"Mêlée mesure l’habileté du personnage à combattre au corps à corps, que ce soit pour frapper, bloquer ou repousser un adversaire en combat rapproché.",La compétence **Mêlée** permet au personnage de :\n\n- effectuer une attaque en maniant une arme de corps à corps\n- réaliser une bousculade pour repousser ou déséquilibrer un ennemi\n- tenter de contrer une manœuvre adverse,
a905fa3b-3f46-4535-8545-f68ba5d0a74a,occultisme,Occultism,Occultisme,sens,"Occultisme représente la compréhension intuitive ou expérimentale des phénomènes surnaturels, ainsi que la capacité à interagir consciemment avec eux.",La compétence **Occultisme** permet au personnage de\n\n- activer ou de manipuler un objet magique\n- canaliser un Pouvoir ou utiliser une capacité surnaturelle\n- faire des liens entre des effets magiques connus\n- identifier la nature surnaturelle d’un effet\n- s’adapter à un artefact,
008a4f8d-a643-4379-9c9d-233be81772ed,orientation,Orientation,Orientation,adresse,"Orientation mesure la capacité du personnage à viser, à se repérer dans l’espace et à réagir aux trajectoires ou déplacements, qu’il s’agisse de lancer un projectile, de naviguer ou de manœuvrer un véhicule.",La compétence **Orientation** permet au personnage de :\n\n- conduire un véhicule\n- effectuer une attaque avec une arme à distance\n- exécuter une manœuvre en réponse à un danger\n- lancer un objet vers une cible approximative ou précise\n- suivre une carte ou un plan,
de9de04d-5bf7-4532-9c7b-102c61b44e52,perception,Perception,Perception,sens,"Perception représente l’acuité sensorielle du personnage, sa capacité à remarquer les détails, les sons subtils ou les éléments dissimulés dans son environnement.","La compétence **Perception** permet au personnage de :\n\n- capter des sons faibles comme une conversation chuchotée ou lointaine\n- déceler un piège ou un passage secret\n- repérer une créature dissimulée, furtive ou discrète",
355d38c6-e750-4bea-ba83-1f48ca7b7f08,representation,Performance,Représentation,,"Représentation reflète la capacité du personnage à captiver, émouvoir ou influencer par la performance artistique, l’intensité expressive ou la mise en scène.","La compétence **Représentation** permet au personnage de :\n\n- distraire ou captiver un auditoire\n- faire diversion\n- inspirer la peur\n- provoquer pour détourner l’attention\n- se produire dans une discipline artistique comme la poésie, la danse, la musique ou le théâtre",
2b70f27a-ea0b-4ff9-95f8-417e0702a76b,resistance,Resistance,Résistance,sante,"Résistance reflète la robustesse physique du personnage face à la douleur, aux blessures et aux chocs traumatiques.",La compétence **Résistance** permet au personnage de :\n\n- ne pas s’effondrer sous un important choc physique\n- rester debout après avoir subi de lourds dégâts\n- résister aux effets directs d’un impact violent,
b1b5247e-cce9-472d-b81e-be8abf424278,roublardise,Thievery,Roublardise,adresse,"Roublardise reflète l’habileté manuelle du personnage à interagir avec précision, ruse ou subtilité avec des mécanismes, dispositifs piégés ou objets délicats.",La compétence **Roublardise** permet au personnage de :\n\n- activer un mécanisme\n- crocheter une serrure\n- désamorcer un piège\n- manipuler avec précision de petits objets\n- nouer ou dénouer un nœud simple ou complexe\n- saboter un mécanisme,
b9d6c435-c33d-464f-aecb-57ac104f681f,survie,Survival,Survie,sens,"Survie évalue les connaissances et réflexes du personnage face à la nature : orientation, pistage, protection contre les éléments, et gestion des animaux.",La compétence **Survie** permet au personnage de :\n\n- interagir avec des animaux sauvages ou dressés\n- prédire le climat\n- suivre une piste\n- s’orienter et de se déplacer sans se perdre en pleine nature\n- trouver un abri et de la nourriture\n- éviter les dangers naturels,
0aa11881-5115-41d0-9357-2e2027114014,tromperie,Deception,Tromperie,,"Tromperie mesure la capacité du personnage à induire les autres en erreur par des mensonges, des déguisements ou des manipulations verbales subtiles.",La compétence **Tromperie** permet au personnage de :\n\n- imiter une créature d’une autre espèce ou d’un autre genre avec vraisemblance\n- manipuler sans contredire la vérité directement\n- mentir de façon crédible ou non\n- se faire passer pour autrui\n- utiliser un déguisement convaincant,
